datetime,value,areaAnalisi
2024-10-01 23:45:00,195959,Intero Comune
2024-10-01 23:45:00,12290,Cagliari - 006
2024-10-01 23:45:00,28730,Cagliari - 001
2024-10-01 23:45:00,19861,Cagliari - 004
2024-10-01 23:45:00,13158,Cagliari - 008
2024-10-01 23:45:00,3698,Cagliari - 003
2024-10-01 23:45:00,14683,Cagliari - 005
2024-10-01 23:45:00,17755,Cagliari - 002
2024-10-01 23:45:00,20717,Cagliari - 009
2024-10-01 23:45:00,19496,Cagliari - 000
2024-10-01 23:45:00,10871,Cagliari - 007
2024-10-01 23:45:00,9199,Cagliari - 011
2024-10-01 23:45:00,21120,Cagliari - 010
2024-10-01 23:45:00,4381,Cagliari - 012
2024-10-01 23:30:00,196494,Intero Comune
2024-10-01 23:30:00,12308,Cagliari - 006
2024-10-01 23:30:00,28934,Cagliari - 001
2024-10-01 23:30:00,19805,Cagliari - 004
2024-10-01 23:30:00,13169,Cagliari - 008
2024-10-01 23:30:00,3703,Cagliari - 003
2024-10-01 23:30:00,14652,Cagliari - 005
2024-10-01 23:30:00,17881,Cagliari - 002
2024-10-01 23:30:00,20599,Cagliari - 009
2024-10-01 23:30:00,19723,Cagliari - 000
2024-10-01 23:30:00,10811,Cagliari - 007
2024-10-01 23:30:00,9169,Cagliari - 011
2024-10-01 23:30:00,21346,Cagliari - 010
2024-10-01 23:30:00,4394,Cagliari - 012
2024-10-01 23:15:00,197199,Intero Comune
2024-10-01 23:15:00,12309,Cagliari - 006
2024-10-01 23:15:00,29308,Cagliari - 001
2024-10-01 23:15:00,19913,Cagliari - 004
2024-10-01 23:15:00,13311,Cagliari - 008
2024-10-01 23:15:00,3712,Cagliari - 003
2024-10-01 23:15:00,14589,Cagliari - 005
2024-10-01 23:15:00,17729,Cagliari - 002
2024-10-01 23:15:00,20594,Cagliari - 009
2024-10-01 23:15:00,20012,Cagliari - 000
2024-10-01 23:15:00,10688,Cagliari - 007
2024-10-01 23:15:00,9253,Cagliari - 011
2024-10-01 23:15:00,21392,Cagliari - 010
2024-10-01 23:15:00,4389,Cagliari - 012
2024-10-01 23:00:00,197532,Intero Comune
2024-10-01 23:00:00,12164,Cagliari - 006
2024-10-01 23:00:00,29725,Cagliari - 001
2024-10-01 23:00:00,19994,Cagliari - 004
2024-10-01 23:00:00,13159,Cagliari - 008
2024-10-01 23:00:00,3676,Cagliari - 003
2024-10-01 23:00:00,14650,Cagliari - 005
2024-10-01 23:00:00,17596,Cagliari - 002
2024-10-01 23:00:00,20476,Cagliari - 009
2024-10-01 23:00:00,20038,Cagliari - 000
2024-10-01 23:00:00,10665,Cagliari - 007
2024-10-01 23:00:00,9238,Cagliari - 011
2024-10-01 23:00:00,21648,Cagliari - 010
2024-10-01 23:00:00,4503,Cagliari - 012
2024-10-01 22:45:00,197992,Intero Comune
2024-10-01 22:45:00,12102,Cagliari - 006
2024-10-01 22:45:00,29981,Cagliari - 001
2024-10-01 22:45:00,20033,Cagliari - 004
2024-10-01 22:45:00,13218,Cagliari - 008
2024-10-01 22:45:00,3650,Cagliari - 003
2024-10-01 22:45:00,14532,Cagliari - 005
2024-10-01 22:45:00,17694,Cagliari - 002
2024-10-01 22:45:00,20508,Cagliari - 009
2024-10-01 22:45:00,20011,Cagliari - 000
2024-10-01 22:45:00,10664,Cagliari - 007
2024-10-01 22:45:00,9179,Cagliari - 011
2024-10-01 22:45:00,21924,Cagliari - 010
2024-10-01 22:45:00,4496,Cagliari - 012
2024-10-01 22:30:00,198503,Intero Comune
2024-10-01 22:30:00,12170,Cagliari - 006
2024-10-01 22:30:00,30321,Cagliari - 001
2024-10-01 22:30:00,19927,Cagliari - 004
2024-10-01 22:30:00,13174,Cagliari - 008
2024-10-01 22:30:00,3679,Cagliari - 003
2024-10-01 22:30:00,14509,Cagliari - 005
2024-10-01 22:30:00,17773,Cagliari - 002
2024-10-01 22:30:00,20355,Cagliari - 009
2024-10-01 22:30:00,20219,Cagliari - 000
2024-10-01 22:30:00,10661,Cagliari - 007
2024-10-01 22:30:00,9212,Cagliari - 011
2024-10-01 22:30:00,22055,Cagliari - 010
2024-10-01 22:30:00,4448,Cagliari - 012
2024-10-01 22:15:00,199174,Intero Comune
2024-10-01 22:15:00,12186,Cagliari - 006
2024-10-01 22:15:00,30357,Cagliari - 001
2024-10-01 22:15:00,19814,Cagliari - 004
2024-10-01 22:15:00,13298,Cagliari - 008
2024-10-01 22:15:00,3707,Cagliari - 003
2024-10-01 22:15:00,14483,Cagliari - 005
2024-10-01 22:15:00,17832,Cagliari - 002
2024-10-01 22:15:00,20500,Cagliari - 009
2024-10-01 22:15:00,20503,Cagliari - 000
2024-10-01 22:15:00,10678,Cagliari - 007
2024-10-01 22:15:00,9279,Cagliari - 011
2024-10-01 22:15:00,22027,Cagliari - 010
2024-10-01 22:15:00,4510,Cagliari - 012
2024-10-01 22:00:00,199742,Intero Comune
2024-10-01 22:00:00,12253,Cagliari - 006
2024-10-01 22:00:00,30641,Cagliari - 001
2024-10-01 22:00:00,19832,Cagliari - 004
2024-10-01 22:00:00,13261,Cagliari - 008
2024-10-01 22:00:00,3650,Cagliari - 003
2024-10-01 22:00:00,14400,Cagliari - 005
2024-10-01 22:00:00,17973,Cagliari - 002
2024-10-01 22:00:00,20318,Cagliari - 009
2024-10-01 22:00:00,20937,Cagliari - 000
2024-10-01 22:00:00,10600,Cagliari - 007
