datetime,value,areaAnalisi
2024-08-15 21:45:00,148259,Intero Comune
2024-08-15 21:45:00,8764,Cagliari - 008
2024-08-15 21:45:00,8302,Cagliari - 011
2024-08-15 21:45:00,6919,Cagliari - 007
2024-08-15 21:45:00,15723,Cagliari - 010
2024-08-15 21:45:00,12282,Cagliari - 009
2024-08-15 21:45:00,7593,Cagliari - 012
2024-08-15 21:45:00,10472,Cagliari - 005
2024-08-15 21:45:00,8268,Cagliari - 006
2024-08-15 21:45:00,11577,Cagliari - 002
2024-08-15 21:45:00,2678,Cagliari - 003
2024-08-15 21:45:00,12867,Cagliari - 004
2024-08-15 21:45:00,26631,Cagliari - 001
2024-08-15 21:45:00,16183,Cagliari - 000
2024-08-15 21:30:00,147461,Intero Comune
2024-08-15 21:30:00,8768,Cagliari - 008
2024-08-15 21:30:00,8276,Cagliari - 011
2024-08-15 21:30:00,6861,Cagliari - 007
2024-08-15 21:30:00,15738,Cagliari - 010
2024-08-15 21:30:00,12330,Cagliari - 009
2024-08-15 21:30:00,7434,Cagliari - 012
2024-08-15 21:30:00,10316,Cagliari - 005
2024-08-15 21:30:00,8272,Cagliari - 006
2024-08-15 21:30:00,11649,Cagliari - 002
2024-08-15 21:30:00,2669,Cagliari - 003
2024-08-15 21:30:00,12731,Cagliari - 004
2024-08-15 21:30:00,26338,Cagliari - 001
2024-08-15 21:30:00,16079,Cagliari - 000
2024-08-15 21:15:00,146855,Intero Comune
2024-08-15 21:15:00,8752,Cagliari - 008
2024-08-15 21:15:00,8322,Cagliari - 011
2024-08-15 21:15:00,6966,Cagliari - 007
2024-08-15 21:15:00,15686,Cagliari - 010
2024-08-15 21:15:00,12326,Cagliari - 009
2024-08-15 21:15:00,7201,Cagliari - 012
2024-08-15 21:15:00,10171,Cagliari - 005
2024-08-15 21:15:00,8201,Cagliari - 006
2024-08-15 21:15:00,11696,Cagliari - 002
2024-08-15 21:15:00,2564,Cagliari - 003
2024-08-15 21:15:00,12679,Cagliari - 004
2024-08-15 21:15:00,26208,Cagliari - 001
2024-08-15 21:15:00,16083,Cagliari - 000
2024-08-15 21:00:00,146661,Intero Comune
2024-08-15 21:00:00,8648,Cagliari - 008
2024-08-15 21:00:00,8417,Cagliari - 011
2024-08-15 21:00:00,7091,Cagliari - 007
2024-08-15 21:00:00,15730,Cagliari - 010
2024-08-15 21:00:00,12437,Cagliari - 009
2024-08-15 21:00:00,7063,Cagliari - 012
2024-08-15 21:00:00,10130,Cagliari - 005
2024-08-15 21:00:00,8202,Cagliari - 006
2024-08-15 21:00:00,11756,Cagliari - 002
2024-08-15 21:00:00,2546,Cagliari - 003
2024-08-15 21:00:00,12649,Cagliari - 004
2024-08-15 21:00:00,25928,Cagliari - 001
2024-08-15 21:00:00,16064,Cagliari - 000
2024-08-15 20:45:00,145597,Intero Comune
2024-08-15 20:45:00,8677,Cagliari - 008
2024-08-15 20:45:00,8272,Cagliari - 011
2024-08-15 20:45:00,7125,Cagliari - 007
2024-08-15 20:45:00,15877,Cagliari - 010
2024-08-15 20:45:00,12502,Cagliari - 009
2024-08-15 20:45:00,7052,Cagliari - 012
2024-08-15 20:45:00,9988,Cagliari - 005
2024-08-15 20:45:00,8217,Cagliari - 006
2024-08-15 20:45:00,11547,Cagliari - 002
2024-08-15 20:45:00,2576,Cagliari - 003
2024-08-15 20:45:00,12600,Cagliari - 004
2024-08-15 20:45:00,25066,Cagliari - 001
2024-08-15 20:45:00,16098,Cagliari - 000
2024-08-15 20:30:00,144662,Intero Comune
2024-08-15 20:30:00,8605,Cagliari - 008
2024-08-15 20:30:00,8291,Cagliari - 011
2024-08-15 20:30:00,7116,Cagliari - 007
2024-08-15 20:30:00,15652,Cagliari - 010
2024-08-15 20:30:00,12461,Cagliari - 009
2024-08-15 20:30:00,6969,Cagliari - 012
2024-08-15 20:30:00,9988,Cagliari - 005
2024-08-15 20:30:00,8097,Cagliari - 006
2024-08-15 20:30:00,11570,Cagliari - 002
2024-08-15 20:30:00,2546,Cagliari - 003
2024-08-15 20:30:00,12584,Cagliari - 004
2024-08-15 20:30:00,24741,Cagliari - 001
2024-08-15 20:30:00,16042,Cagliari - 000
2024-08-15 20:15:00,143626,Intero Comune
2024-08-15 20:15:00,8548,Cagliari - 008
2024-08-15 20:15:00,8058,Cagliari - 011
2024-08-15 20:15:00,6910,Cagliari - 007
2024-08-15 20:15:00,15374,Cagliari - 010
2024-08-15 20:15:00,12293,Cagliari - 009
2024-08-15 20:15:00,6978,Cagliari - 012
2024-08-15 20:15:00,9840,Cagliari - 005
2024-08-15 20:15:00,8164,Cagliari - 006
2024-08-15 20:15:00,11588,Cagliari - 002
2024-08-15 20:15:00,2583,Cagliari - 003
2024-08-15 20:15:00,12678,Cagliari - 004
2024-08-15 20:15:00,24244,Cagliari - 001
2024-08-15 20:15:00,16368,Cagliari - 000
2024-08-15 20:00:00,142958,Intero Comune
2024-08-15 20:00:00,8510,Cagliari - 008
2024-08-15 20:00:00,8140,Cagliari - 011
2024-08-15 20:00:00,6910,Cagliari - 007
2024-08-15 20:00:00,15458,Cagliari - 010
2024-08-15 20:00:00,12267,Cagliari - 009
2024-08-15 20:00:00,7069,Cagliari - 012
2024-08-15 20:00:00,9908,Cagliari - 005
2024-08-15 20:00:00,8080,Cagliari - 006
2024-08-15 20:00:00,11606,Cagliari - 002
2024-08-15 20:00:00,2553,Cagliari - 003
2024-08-15 20:00:00,12575,Cagliari - 004
2024-08-15 20:00:00,23765,Cagliari - 001
2024-08-15 20:00:00,16117,Cagliari - 000
2024-08-15 19:45:00,141551,Intero Comune
2024-08-15 19:45:00,8524,Cagliari - 008
2024-08-15 19:45:00,8063,Cagliari - 011
2024-08-15 19:45:00,7005,Cagliari - 007
2024-08-15 19:45:00,14949,Cagliari - 010
2024-08-15 19:45:00,12262,Cagliari - 009
2024-08-15 19:45:00,7039,Cagliari - 012
2024-08-15 19:45:00,9751,Cagliari - 005
2024-08-15 19:45:00,8110,Cagliari - 006
2024-08-15 19:45:00,11608,Cagliari - 002
2024-08-15 19:45:00,2562,Cagliari - 003
2024-08-15 19:45:00,12441,Cagliari - 004
2024-08-15 19:45:00,23150,Cagliari - 001
2024-08-15 19:45:00,16087,Cagliari - 000
2024-08-15 19:30:00,140463,Intero Comune
2024-08-15 19:30:00,8509,Cagliari - 008
2024-08-15 19:30:00,8091,Cagliari - 011
2024-08-15 19:30:00,6907,Cagliari - 007
2024-08-15 19:30:00,15015,Cagliari - 010
2024-08-15 19:30:00,12028,Cagliari - 009
2024-08-15 19:30:00,7155,Cagliari - 012
2024-08-15 19:30:00,9894,Cagliari - 005
2024-08-15 19:30:00,8040,Cagliari - 006
2024-08-15 19:30:00,11484,Cagliari - 002
2024-08-15 19:30:00,2555,Cagliari - 003
2024-08-15 19:30:00,12293,Cagliari - 004
