datetime,value,areaAnalisi
2024-09-15 21:45:00,184228,Intero Comune
2024-09-15 21:45:00,20187,Cagliari - 010
2024-09-15 21:45:00,17107,Cagliari - 004
2024-09-15 21:45:00,17968,Cagliari - 009
2024-09-15 21:45:00,12067,Cagliari - 008
2024-09-15 21:45:00,11395,Cagliari - 006
2024-09-15 21:45:00,9393,Cagliari - 007
2024-09-15 21:45:00,5103,Cagliari - 012
2024-09-15 21:45:00,10384,Cagliari - 011
2024-09-15 21:45:00,15829,Cagliari - 002
2024-09-15 21:45:00,18430,Cagliari - 000
2024-09-15 21:45:00,3494,Cagliari - 003
2024-09-15 21:45:00,13580,Cagliari - 005
2024-09-15 21:45:00,29291,Cagliari - 001
2024-09-15 21:30:00,184864,Intero Comune
2024-09-15 21:30:00,20370,Cagliari - 010
2024-09-15 21:30:00,17138,Cagliari - 004
2024-09-15 21:30:00,18026,Cagliari - 009
2024-09-15 21:30:00,12072,Cagliari - 008
2024-09-15 21:30:00,11288,Cagliari - 006
2024-09-15 21:30:00,9463,Cagliari - 007
2024-09-15 21:30:00,5065,Cagliari - 012
2024-09-15 21:30:00,10981,Cagliari - 011
2024-09-15 21:30:00,15850,Cagliari - 002
2024-09-15 21:30:00,18693,Cagliari - 000
2024-09-15 21:30:00,3342,Cagliari - 003
2024-09-15 21:30:00,13394,Cagliari - 005
2024-09-15 21:30:00,29182,Cagliari - 001
2024-09-15 21:15:00,186118,Intero Comune
2024-09-15 21:15:00,20911,Cagliari - 010
2024-09-15 21:15:00,17016,Cagliari - 004
2024-09-15 21:15:00,17933,Cagliari - 009
2024-09-15 21:15:00,12128,Cagliari - 008
2024-09-15 21:15:00,11178,Cagliari - 006
2024-09-15 21:15:00,9443,Cagliari - 007
2024-09-15 21:15:00,5123,Cagliari - 012
2024-09-15 21:15:00,11526,Cagliari - 011
2024-09-15 21:15:00,16170,Cagliari - 002
2024-09-15 21:15:00,19033,Cagliari - 000
2024-09-15 21:15:00,3420,Cagliari - 003
2024-09-15 21:15:00,13265,Cagliari - 005
2024-09-15 21:15:00,28972,Cagliari - 001
2024-09-15 21:00:00,187228,Intero Comune
2024-09-15 21:00:00,21548,Cagliari - 010
2024-09-15 21:00:00,17058,Cagliari - 004
2024-09-15 21:00:00,17933,Cagliari - 009
2024-09-15 21:00:00,12157,Cagliari - 008
2024-09-15 21:00:00,11058,Cagliari - 006
2024-09-15 21:00:00,9461,Cagliari - 007
2024-09-15 21:00:00,5123,Cagliari - 012
2024-09-15 21:00:00,12118,Cagliari - 011
2024-09-15 21:00:00,16255,Cagliari - 002
2024-09-15 21:00:00,19138,Cagliari - 000
2024-09-15 21:00:00,3423,Cagliari - 003
2024-09-15 21:00:00,13263,Cagliari - 005
2024-09-15 21:00:00,28693,Cagliari - 001
2024-09-15 20:45:00,189179,Intero Comune
2024-09-15 20:45:00,22458,Cagliari - 010
2024-09-15 20:45:00,16934,Cagliari - 004
2024-09-15 20:45:00,17855,Cagliari - 009
2024-09-15 20:45:00,12207,Cagliari - 008
2024-09-15 20:45:00,10970,Cagliari - 006
2024-09-15 20:45:00,9536,Cagliari - 007
2024-09-15 20:45:00,5165,Cagliari - 012
2024-09-15 20:45:00,13584,Cagliari - 011
2024-09-15 20:45:00,16179,Cagliari - 002
2024-09-15 20:45:00,19501,Cagliari - 000
2024-09-15 20:45:00,3445,Cagliari - 003
2024-09-15 20:45:00,13190,Cagliari - 005
2024-09-15 20:45:00,28155,Cagliari - 001
2024-09-15 20:30:00,190061,Intero Comune
2024-09-15 20:30:00,23154,Cagliari - 010
2024-09-15 20:30:00,16880,Cagliari - 004
2024-09-15 20:30:00,17638,Cagliari - 009
2024-09-15 20:30:00,12045,Cagliari - 008
2024-09-15 20:30:00,10828,Cagliari - 006
2024-09-15 20:30:00,9460,Cagliari - 007
2024-09-15 20:30:00,5140,Cagliari - 012
2024-09-15 20:30:00,15211,Cagliari - 011
2024-09-15 20:30:00,16048,Cagliari - 002
2024-09-15 20:30:00,19444,Cagliari - 000
2024-09-15 20:30:00,3442,Cagliari - 003
2024-09-15 20:30:00,12930,Cagliari - 005
2024-09-15 20:30:00,27841,Cagliari - 001
2024-09-15 20:15:00,191254,Intero Comune
2024-09-15 20:15:00,23598,Cagliari - 010
2024-09-15 20:15:00,16687,Cagliari - 004
2024-09-15 20:15:00,17510,Cagliari - 009
2024-09-15 20:15:00,11746,Cagliari - 008
2024-09-15 20:15:00,10792,Cagliari - 006
2024-09-15 20:15:00,9445,Cagliari - 007
2024-09-15 20:15:00,5032,Cagliari - 012
2024-09-15 20:15:00,17536,Cagliari - 011
2024-09-15 20:15:00,16016,Cagliari - 002
2024-09-15 20:15:00,19183,Cagliari - 000
2024-09-15 20:15:00,3468,Cagliari - 003
2024-09-15 20:15:00,12801,Cagliari - 005
2024-09-15 20:15:00,27440,Cagliari - 001
2024-09-15 20:00:00,191850,Intero Comune
2024-09-15 20:00:00,22437,Cagliari - 010
2024-09-15 20:00:00,16438,Cagliari - 004
2024-09-15 20:00:00,17130,Cagliari - 009
2024-09-15 20:00:00,11455,Cagliari - 008
2024-09-15 20:00:00,10659,Cagliari - 006
2024-09-15 20:00:00,9537,Cagliari - 007
2024-09-15 20:00:00,5103,Cagliari - 012
2024-09-15 20:00:00,20264,Cagliari - 011
2024-09-15 20:00:00,16133,Cagliari - 002
2024-09-15 20:00:00,19315,Cagliari - 000
2024-09-15 20:00:00,3404,Cagliari - 003
2024-09-15 20:00:00,12832,Cagliari - 005
2024-09-15 20:00:00,27143,Cagliari - 001
2024-09-15 19:45:00,191381,Intero Comune
2024-09-15 19:45:00,22100,Cagliari - 010
2024-09-15 19:45:00,16405,Cagliari - 004
2024-09-15 19:45:00,17051,Cagliari - 009
2024-09-15 19:45:00,11229,Cagliari - 008
2024-09-15 19:45:00,10437,Cagliari - 006
2024-09-15 19:45:00,9349,Cagliari - 007
2024-09-15 19:45:00,5263,Cagliari - 012
2024-09-15 19:45:00,21215,Cagliari - 011
2024-09-15 19:45:00,16131,Cagliari - 002
2024-09-15 19:45:00,19343,Cagliari - 000
2024-09-15 19:45:00,3411,Cagliari - 003
