datetime,value,areaAnalisi
2024-08-01 21:45:00,177193,Intero Comune
2024-08-01 21:45:00,6262,Cagliari - 012
2024-08-01 21:45:00,13643,Cagliari - 005
2024-08-01 21:45:00,11779,Cagliari - 006
2024-08-01 21:45:00,18510,Cagliari - 010
2024-08-01 21:45:00,8528,Cagliari - 007
2024-08-01 21:45:00,12227,Cagliari - 008
2024-08-01 21:45:00,16805,Cagliari - 009
2024-08-01 21:45:00,9360,Cagliari - 011
2024-08-01 21:45:00,16390,Cagliari - 004
2024-08-01 21:45:00,15241,Cagliari - 002
2024-08-01 21:45:00,18160,Cagliari - 000
2024-08-01 21:45:00,3257,Cagliari - 003
2024-08-01 21:45:00,27031,Cagliari - 001
2024-08-01 21:30:00,177730,Intero Comune
2024-08-01 21:30:00,6326,Cagliari - 012
2024-08-01 21:30:00,13583,Cagliari - 005
2024-08-01 21:30:00,11750,Cagliari - 006
2024-08-01 21:30:00,18661,Cagliari - 010
2024-08-01 21:30:00,8408,Cagliari - 007
2024-08-01 21:30:00,12127,Cagliari - 008
2024-08-01 21:30:00,16762,Cagliari - 009
2024-08-01 21:30:00,9502,Cagliari - 011
2024-08-01 21:30:00,16199,Cagliari - 004
2024-08-01 21:30:00,15290,Cagliari - 002
2024-08-01 21:30:00,18164,Cagliari - 000
2024-08-01 21:30:00,3235,Cagliari - 003
2024-08-01 21:30:00,27723,Cagliari - 001
2024-08-01 21:15:00,178434,Intero Comune
2024-08-01 21:15:00,6466,Cagliari - 012
2024-08-01 21:15:00,13434,Cagliari - 005
2024-08-01 21:15:00,11621,Cagliari - 006
2024-08-01 21:15:00,18828,Cagliari - 010
2024-08-01 21:15:00,8404,Cagliari - 007
2024-08-01 21:15:00,12016,Cagliari - 008
2024-08-01 21:15:00,16768,Cagliari - 009
2024-08-01 21:15:00,9659,Cagliari - 011
2024-08-01 21:15:00,16189,Cagliari - 004
2024-08-01 21:15:00,15470,Cagliari - 002
2024-08-01 21:15:00,18317,Cagliari - 000
2024-08-01 21:15:00,3185,Cagliari - 003
2024-08-01 21:15:00,28077,Cagliari - 001
2024-08-01 21:00:00,178996,Intero Comune
2024-08-01 21:00:00,6553,Cagliari - 012
2024-08-01 21:00:00,13304,Cagliari - 005
2024-08-01 21:00:00,11487,Cagliari - 006
2024-08-01 21:00:00,18940,Cagliari - 010
2024-08-01 21:00:00,8413,Cagliari - 007
2024-08-01 21:00:00,12034,Cagliari - 008
2024-08-01 21:00:00,16787,Cagliari - 009
2024-08-01 21:00:00,9769,Cagliari - 011
2024-08-01 21:00:00,16195,Cagliari - 004
2024-08-01 21:00:00,15301,Cagliari - 002
2024-08-01 21:00:00,18403,Cagliari - 000
2024-08-01 21:00:00,3210,Cagliari - 003
2024-08-01 21:00:00,28600,Cagliari - 001
2024-08-01 20:45:00,179563,Intero Comune
2024-08-01 20:45:00,6606,Cagliari - 012
2024-08-01 20:45:00,13281,Cagliari - 005
2024-08-01 20:45:00,11189,Cagliari - 006
2024-08-01 20:45:00,19071,Cagliari - 010
2024-08-01 20:45:00,8409,Cagliari - 007
2024-08-01 20:45:00,11860,Cagliari - 008
2024-08-01 20:45:00,16902,Cagliari - 009
2024-08-01 20:45:00,9700,Cagliari - 011
2024-08-01 20:45:00,16234,Cagliari - 004
2024-08-01 20:45:00,15515,Cagliari - 002
2024-08-01 20:45:00,18458,Cagliari - 000
2024-08-01 20:45:00,3200,Cagliari - 003
2024-08-01 20:45:00,29138,Cagliari - 001
2024-08-01 20:30:00,179586,Intero Comune
2024-08-01 20:30:00,6386,Cagliari - 012
2024-08-01 20:30:00,13285,Cagliari - 005
2024-08-01 20:30:00,11198,Cagliari - 006
2024-08-01 20:30:00,19138,Cagliari - 010
2024-08-01 20:30:00,8465,Cagliari - 007
2024-08-01 20:30:00,11890,Cagliari - 008
2024-08-01 20:30:00,16900,Cagliari - 009
2024-08-01 20:30:00,9877,Cagliari - 011
2024-08-01 20:30:00,16175,Cagliari - 004
2024-08-01 20:30:00,15453,Cagliari - 002
2024-08-01 20:30:00,18272,Cagliari - 000
2024-08-01 20:30:00,3217,Cagliari - 003
2024-08-01 20:30:00,29330,Cagliari - 001
2024-08-01 20:15:00,179983,Intero Comune
2024-08-01 20:15:00,7027,Cagliari - 012
2024-08-01 20:15:00,13280,Cagliari - 005
2024-08-01 20:15:00,11113,Cagliari - 006
2024-08-01 20:15:00,18979,Cagliari - 010
2024-08-01 20:15:00,8374,Cagliari - 007
2024-08-01 20:15:00,11818,Cagliari - 008
2024-08-01 20:15:00,16874,Cagliari - 009
2024-08-01 20:15:00,9850,Cagliari - 011
2024-08-01 20:15:00,16292,Cagliari - 004
2024-08-01 20:15:00,15432,Cagliari - 002
2024-08-01 20:15:00,18340,Cagliari - 000
2024-08-01 20:15:00,3198,Cagliari - 003
2024-08-01 20:15:00,29406,Cagliari - 001
2024-08-01 20:00:00,180553,Intero Comune
2024-08-01 20:00:00,7000,Cagliari - 012
2024-08-01 20:00:00,13226,Cagliari - 005
2024-08-01 20:00:00,11167,Cagliari - 006
2024-08-01 20:00:00,18864,Cagliari - 010
2024-08-01 20:00:00,8638,Cagliari - 007
2024-08-01 20:00:00,11896,Cagliari - 008
2024-08-01 20:00:00,16947,Cagliari - 009
2024-08-01 20:00:00,9883,Cagliari - 011
2024-08-01 20:00:00,16279,Cagliari - 004
2024-08-01 20:00:00,15747,Cagliari - 002
2024-08-01 20:00:00,18320,Cagliari - 000
2024-08-01 20:00:00,3240,Cagliari - 003
2024-08-01 20:00:00,29346,Cagliari - 001
2024-08-01 19:45:00,180794,Intero Comune
2024-08-01 19:45:00,7196,Cagliari - 012
2024-08-01 19:45:00,13166,Cagliari - 005
2024-08-01 19:45:00,11159,Cagliari - 006
2024-08-01 19:45:00,18888,Cagliari - 010
2024-08-01 19:45:00,8624,Cagliari - 007
2024-08-01 19:45:00,11844,Cagliari - 008
2024-08-01 19:45:00,16945,Cagliari - 009
2024-08-01 19:45:00,9744,Cagliari - 011
2024-08-01 19:45:00,16276,Cagliari - 004
2024-08-01 19:45:00,15811,Cagliari - 002
2024-08-01 19:45:00,18576,Cagliari - 000
2024-08-01 19:45:00,3225,Cagliari - 003
2024-08-01 19:45:00,29340,Cagliari - 001
2024-08-01 19:30:00,181113,Intero Comune
2024-08-01 19:30:00,7111,Cagliari - 012
2024-08-01 19:30:00,13120,Cagliari - 005
2024-08-01 19:30:00,11108,Cagliari - 006
2024-08-01 19:30:00,18961,Cagliari - 010
2024-08-01 19:30:00,8827,Cagliari - 007
2024-08-01 19:30:00,11696,Cagliari - 008
2024-08-01 19:30:00,16836,Cagliari - 009
2024-08-01 19:30:00,9785,Cagliari - 011
2024-08-01 19:30:00,16309,Cagliari - 004
2024-08-01 19:30:00,16059,Cagliari - 002
2024-08-01 19:30:00,18747,Cagliari - 000
2024-08-01 19:30:00,3221,Cagliari - 003
2024-08-01 19:30:00,29333,Cagliari - 001
2024-08-01 19:15:00,180990,Intero Comune
2024-08-01 19:15:00,7033,Cagliari - 012
2024-08-01 19:15:00,13263,Cagliari - 005
2024-08-01 19:15:00,11000,Cagliari - 006
2024-08-01 19:15:00,18877,Cagliari - 010
2024-08-01 19:15:00,8818,Cagliari - 007
2024-08-01 19:15:00,11641,Cagliari - 008
2024-08-01 19:15:00,16844,Cagliari - 009
2024-08-01 19:15:00,9726,Cagliari - 011
2024-08-01 19:15:00,16368,Cagliari - 004
2024-08-01 19:15:00,16209,Cagliari - 002
2024-08-01 19:15:00,18856,Cagliari - 000
2024-08-01 19:15:00,3263,Cagliari - 003
2024-08-01 19:15:00,29092,Cagliari - 001
2024-08-01 19:00:00,180944,Intero Comune
2024-08-01 19:00:00,6969,Cagliari - 012
2024-08-01 19:00:00,13254,Cagliari - 005
2024-08-01 19:00:00,10945,Cagliari - 006
2024-08-01 19:00:00,18838,Cagliari - 010
2024-08-01 19:00:00,8931,Cagliari - 007
2024-08-01 19:00:00,11511,Cagliari - 008
2024-08-01 19:00:00,17014,Cagliari - 009
2024-08-01 19:00:00,9809,Cagliari - 011
2024-08-01 19:00:00,16374,Cagliari - 004
2024-08-01 19:00:00,16447,Cagliari - 002
2024-08-01 19:00:00,18816,Cagliari - 000
2024-08-01 19:00:00,3246,Cagliari - 003
2024-08-01 19:00:00,28790,Cagliari - 001
2024-08-01 18:45:00,181172,Intero Comune
2024-08-01 18:45:00,7306,Cagliari - 012
2024-08-01 18:45:00,13193,Cagliari - 005
2024-08-01 18:45:00,11058,Cagliari - 006
2024-08-01 18:45:00,18514,Cagliari - 010
2024-08-01 18:45:00,9125,Cagliari - 007
2024-08-01 18:45:00,11697,Cagliari - 008
2024-08-01 18:45:00,17132,Cagliari - 009
2024-08-01 18:45:00,9483,Cagliari - 011
2024-08-01 18:45:00,16634,Cagliari - 004
2024-08-01 18:45:00,16471,Cagliari - 002
2024-08-01 18:45:00,18959,Cagliari - 000
2024-08-01 18:45:00,3205,Cagliari - 003
2024-08-01 18:45:00,28395,Cagliari - 001
2024-08-01 18:30:00,181594,Intero Comune
2024-08-01 18:30:00,7234,Cagliari - 012
2024-08-01 18:30:00,13215,Cagliari - 005
2024-08-01 18:30:00,11235,Cagliari - 006
2024-08-01 18:30:00,18663,Cagliari - 010
2024-08-01 18:30:00,9213,Cagliari - 007
2024-08-01 18:30:00,11512,Cagliari - 008
2024-08-01 18:30:00,17207,Cagliari - 009
2024-08-01 18:30:00,9439,Cagliari - 011
2024-08-01 18:30:00,16691,Cagliari - 004
2024-08-01 18:30:00,16554,Cagliari - 002
2024-08-01 18:30:00,19353,Cagliari - 000
2024-08-01 18:30:00,3263,Cagliari - 003
2024-08-01 18:30:00,28015,Cagliari - 001
2024-08-01 18:15:00,181774,Intero Comune
2024-08-01 18:15:00,7382,Cagliari - 012
2024-08-01 18:15:00,13216,Cagliari - 005
2024-08-01 18:15:00,11277,Cagliari - 006
2024-08-01 18:15:00,18630,Cagliari - 010
2024-08-01 18:15:00,9217,Cagliari - 007
2024-08-01 18:15:00,11689,Cagliari - 008
2024-08-01 18:15:00,17451,Cagliari - 009
2024-08-01 18:15:00,9364,Cagliari - 011
2024-08-01 18:15:00,16795,Cagliari - 004
2024-08-01 18:15:00,16553,Cagliari - 002
2024-08-01 18:15:00,19308,Cagliari - 000
2024-08-01 18:15:00,3359,Cagliari - 003
2024-08-01 18:15:00,27533,Cagliari - 001
2024-08-01 18:00:00,181780,Intero Comune
2024-08-01 18:00:00,7538,Cagliari - 012
2024-08-01 18:00:00,13144,Cagliari - 005
2024-08-01 18:00:00,11079,Cagliari - 006
2024-08-01 18:00:00,18540,Cagliari - 010
2024-08-01 18:00:00,9108,Cagliari - 007
2024-08-01 18:00:00,11733,Cagliari - 008
2024-08-01 18:00:00,17894,Cagliari - 009
2024-08-01 18:00:00,9310,Cagliari - 011
2024-08-01 18:00:00,17075,Cagliari - 004
2024-08-01 18:00:00,16963,Cagliari - 002
2024-08-01 18:00:00,19317,Cagliari - 000
2024-08-01 18:00:00,3318,Cagliari - 003
2024-08-01 18:00:00,26761,Cagliari - 001
2024-08-01 17:45:00,181867,Intero Comune
2024-08-01 17:45:00,7538,Cagliari - 012
2024-08-01 17:45:00,13150,Cagliari - 005
2024-08-01 17:45:00,11079,Cagliari - 006
2024-08-01 17:45:00,18547,Cagliari - 010
2024-08-01 17:45:00,9111,Cagliari - 007
2024-08-01 17:45:00,11740,Cagliari - 008
2024-08-01 17:45:00,17907,Cagliari - 009
2024-08-01 17:45:00,9311,Cagliari - 011
2024-08-01 17:45:00,17094,Cagliari - 004
2024-08-01 17:45:00,16979,Cagliari - 002
2024-08-01 17:45:00,19322,Cagliari - 000
2024-08-01 17:45:00,3318,Cagliari - 003
2024-08-01 17:45:00,26771,Cagliari - 001
2024-08-01 17:30:00,182333,Intero Comune
2024-08-01 17:30:00,7634,Cagliari - 012
2024-08-01 17:30:00,12991,Cagliari - 005
2024-08-01 17:30:00,11067,Cagliari - 006
2024-08-01 17:30:00,18554,Cagliari - 010
2024-08-01 17:30:00,9266,Cagliari - 007
2024-08-01 17:30:00,11866,Cagliari - 008
2024-08-01 17:30:00,17837,Cagliari - 009
2024-08-01 17:30:00,9449,Cagliari - 011
2024-08-01 17:30:00,17198,Cagliari - 004
2024-08-01 17:30:00,17225,Cagliari - 002
2024-08-01 17:30:00,19512,Cagliari - 000
2024-08-01 17:30:00,3398,Cagliari - 003
2024-08-01 17:30:00,26336,Cagliari - 001
2024-08-01 17:15:00,183134,Intero Comune
2024-08-01 17:15:00,7665,Cagliari - 012
2024-08-01 17:15:00,12973,Cagliari - 005
2024-08-01 17:15:00,10992,Cagliari - 006
2024-08-01 17:15:00,18189,Cagliari - 010
2024-08-01 17:15:00,9473,Cagliari - 007
2024-08-01 17:15:00,11898,Cagliari - 008
2024-08-01 17:15:00,18084,Cagliari - 009
2024-08-01 17:15:00,9290,Cagliari - 011
2024-08-01 17:15:00,17242,Cagliari - 004
2024-08-01 17:15:00,17572,Cagliari - 002
2024-08-01 17:15:00,19627,Cagliari - 000
2024-08-01 17:15:00,3496,Cagliari - 003
2024-08-01 17:15:00,26633,Cagliari - 001
2024-08-01 17:00:00,183557,Intero Comune
2024-08-01 17:00:00,7867,Cagliari - 012
2024-08-01 17:00:00,12839,Cagliari - 005
2024-08-01 17:00:00,10980,Cagliari - 006
2024-08-01 17:00:00,18071,Cagliari - 010
2024-08-01 17:00:00,9457,Cagliari - 007
2024-08-01 17:00:00,11813,Cagliari - 008
2024-08-01 17:00:00,18221,Cagliari - 009
2024-08-01 17:00:00,9217,Cagliari - 011
2024-08-01 17:00:00,17307,Cagliari - 004
2024-08-01 17:00:00,17748,Cagliari - 002
2024-08-01 17:00:00,19884,Cagliari - 000
2024-08-01 17:00:00,3585,Cagliari - 003
2024-08-01 17:00:00,26568,Cagliari - 001
2024-08-01 16:45:00,183946,Intero Comune
2024-08-01 16:45:00,7998,Cagliari - 012
2024-08-01 16:45:00,12603,Cagliari - 005
2024-08-01 16:45:00,10978,Cagliari - 006
2024-08-01 16:45:00,18041,Cagliari - 010
2024-08-01 16:45:00,9502,Cagliari - 007
2024-08-01 16:45:00,11998,Cagliari - 008
2024-08-01 16:45:00,18220,Cagliari - 009
2024-08-01 16:45:00,9061,Cagliari - 011
2024-08-01 16:45:00,17405,Cagliari - 004
2024-08-01 16:45:00,17931,Cagliari - 002
2024-08-01 16:45:00,20131,Cagliari - 000
2024-08-01 16:45:00,3598,Cagliari - 003
2024-08-01 16:45:00,26480,Cagliari - 001
2024-08-01 16:30:00,184561,Intero Comune
2024-08-01 16:30:00,7996,Cagliari - 012
2024-08-01 16:30:00,12566,Cagliari - 005
2024-08-01 16:30:00,10853,Cagliari - 006
2024-08-01 16:30:00,18103,Cagliari - 010
2024-08-01 16:30:00,9556,Cagliari - 007
2024-08-01 16:30:00,12132,Cagliari - 008
2024-08-01 16:30:00,18202,Cagliari - 009
2024-08-01 16:30:00,8924,Cagliari - 011
2024-08-01 16:30:00,17443,Cagliari - 004
2024-08-01 16:30:00,18320,Cagliari - 002
2024-08-01 16:30:00,20416,Cagliari - 000
2024-08-01 16:30:00,3683,Cagliari - 003
2024-08-01 16:30:00,26367,Cagliari - 001
2024-08-01 16:15:00,185065,Intero Comune
2024-08-01 16:15:00,8017,Cagliari - 012
2024-08-01 16:15:00,12566,Cagliari - 005
2024-08-01 16:15:00,10882,Cagliari - 006
2024-08-01 16:15:00,18345,Cagliari - 010
2024-08-01 16:15:00,9828,Cagliari - 007
2024-08-01 16:15:00,12170,Cagliari - 008
2024-08-01 16:15:00,17915,Cagliari - 009
2024-08-01 16:15:00,8989,Cagliari - 011
2024-08-01 16:15:00,17424,Cagliari - 004
2024-08-01 16:15:00,18614,Cagliari - 002
2024-08-01 16:15:00,20519,Cagliari - 000
2024-08-01 16:15:00,3752,Cagliari - 003
2024-08-01 16:15:00,26044,Cagliari - 001
2024-08-01 16:00:00,184773,Intero Comune
2024-08-01 16:00:00,8120,Cagliari - 012
2024-08-01 16:00:00,12612,Cagliari - 005
2024-08-01 16:00:00,10898,Cagliari - 006
2024-08-01 16:00:00,18034,Cagliari - 010
2024-08-01 16:00:00,9721,Cagliari - 007
2024-08-01 16:00:00,12172,Cagliari - 008
2024-08-01 16:00:00,17878,Cagliari - 009
2024-08-01 16:00:00,8923,Cagliari - 011
2024-08-01 16:00:00,17340,Cagliari - 004
2024-08-01 16:00:00,18823,Cagliari - 002
2024-08-01 16:00:00,20739,Cagliari - 000
2024-08-01 16:00:00,3845,Cagliari - 003
2024-08-01 16:00:00,25668,Cagliari - 001
2024-08-01 15:45:00,185232,Intero Comune
2024-08-01 15:45:00,8172,Cagliari - 012
2024-08-01 15:45:00,12636,Cagliari - 005
2024-08-01 15:45:00,10850,Cagliari - 006
2024-08-01 15:45:00,18044,Cagliari - 010
2024-08-01 15:45:00,9808,Cagliari - 007
2024-08-01 15:45:00,12165,Cagliari - 008
2024-08-01 15:45:00,18041,Cagliari - 009
2024-08-01 15:45:00,8857,Cagliari - 011
2024-08-01 15:45:00,17440,Cagliari - 004
2024-08-01 15:45:00,18944,Cagliari - 002
2024-08-01 15:45:00,21004,Cagliari - 000
2024-08-01 15:45:00,3905,Cagliari - 003
2024-08-01 15:45:00,25366,Cagliari - 001
2024-08-01 15:30:00,185573,Intero Comune
2024-08-01 15:30:00,8053,Cagliari - 012
2024-08-01 15:30:00,12525,Cagliari - 005
2024-08-01 15:30:00,10715,Cagliari - 006
2024-08-01 15:30:00,18497,Cagliari - 010
2024-08-01 15:30:00,9793,Cagliari - 007
2024-08-01 15:30:00,12120,Cagliari - 008
2024-08-01 15:30:00,17731,Cagliari - 009
2024-08-01 15:30:00,8920,Cagliari - 011
2024-08-01 15:30:00,17557,Cagliari - 004
2024-08-01 15:30:00,19125,Cagliari - 002
2024-08-01 15:30:00,21207,Cagliari - 000
