datetime,value,areaAnalisi
2024-09-01 23:45:00,171114,Intero Comune
2024-09-01 23:45:00,4974,Cagliari - 012
2024-09-01 23:45:00,13371,Cagliari - 005
2024-09-01 23:45:00,3322,Cagliari - 003
2024-09-01 23:45:00,17741,Cagliari - 010
2024-09-01 23:45:00,8738,Cagliari - 011
2024-09-01 23:45:00,16999,Cagliari - 009
2024-09-01 23:45:00,9340,Cagliari - 007
2024-09-01 23:45:00,11496,Cagliari - 008
2024-09-01 23:45:00,26327,Cagliari - 001
2024-09-01 23:45:00,15500,Cagliari - 004
2024-09-01 23:45:00,11086,Cagliari - 006
2024-09-01 23:45:00,15144,Cagliari - 002
2024-09-01 23:45:00,17076,Cagliari - 000
2024-09-01 23:30:00,171294,Intero Comune
2024-09-01 23:30:00,5209,Cagliari - 012
2024-09-01 23:30:00,13376,Cagliari - 005
2024-09-01 23:30:00,3274,Cagliari - 003
2024-09-01 23:30:00,17878,Cagliari - 010
2024-09-01 23:30:00,8736,Cagliari - 011
2024-09-01 23:30:00,16814,Cagliari - 009
2024-09-01 23:30:00,9282,Cagliari - 007
2024-09-01 23:30:00,11343,Cagliari - 008
2024-09-01 23:30:00,26618,Cagliari - 001
2024-09-01 23:30:00,15517,Cagliari - 004
2024-09-01 23:30:00,10989,Cagliari - 006
2024-09-01 23:30:00,15039,Cagliari - 002
2024-09-01 23:30:00,17219,Cagliari - 000
2024-09-01 23:15:00,171251,Intero Comune
2024-09-01 23:15:00,5306,Cagliari - 012
2024-09-01 23:15:00,13137,Cagliari - 005
2024-09-01 23:15:00,3291,Cagliari - 003
2024-09-01 23:15:00,18022,Cagliari - 010
2024-09-01 23:15:00,8808,Cagliari - 011
2024-09-01 23:15:00,16781,Cagliari - 009
2024-09-01 23:15:00,9204,Cagliari - 007
2024-09-01 23:15:00,11257,Cagliari - 008
2024-09-01 23:15:00,26907,Cagliari - 001
2024-09-01 23:15:00,15531,Cagliari - 004
2024-09-01 23:15:00,10996,Cagliari - 006
2024-09-01 23:15:00,14825,Cagliari - 002
2024-09-01 23:15:00,17186,Cagliari - 000
2024-09-01 23:00:00,171099,Intero Comune
2024-09-01 23:00:00,5318,Cagliari - 012
2024-09-01 23:00:00,13040,Cagliari - 005
2024-09-01 23:00:00,3236,Cagliari - 003
2024-09-01 23:00:00,18227,Cagliari - 010
2024-09-01 23:00:00,8867,Cagliari - 011
2024-09-01 23:00:00,16826,Cagliari - 009
2024-09-01 23:00:00,9034,Cagliari - 007
2024-09-01 23:00:00,11196,Cagliari - 008
2024-09-01 23:00:00,27161,Cagliari - 001
2024-09-01 23:00:00,15389,Cagliari - 004
2024-09-01 23:00:00,10885,Cagliari - 006
2024-09-01 23:00:00,14957,Cagliari - 002
2024-09-01 23:00:00,16963,Cagliari - 000
2024-09-01 22:45:00,171181,Intero Comune
2024-09-01 22:45:00,5518,Cagliari - 012
2024-09-01 22:45:00,12933,Cagliari - 005
2024-09-01 22:45:00,3308,Cagliari - 003
