Time,PM2.5_Sensor1,PM2.5_Sensor2,PM2.5_Sensor3,PM10_Sensor1,PM10_Sensor2,PM10_Sensor3
2024-08-01 00:00:00,3.533333333333333,3.9166666666666665,2.3000000000000003,8.75,8.516666666666667,4.733333333333333
2024-08-01 01:00:00,3.216666666666667,4.083333333333333,2.4833333333333334,7.1000000000000005,10.883333333333333,4.533333333333333
2024-08-01 02:00:00,3.1666666666666665,4.05,2.65,8.6,8.066666666666666,4.833333333333333
2024-08-01 03:00:00,3.766666666666667,4.516666666666667,2.5833333333333335,9.866666666666667,12.016666666666667,5.533333333333334
2024-08-01 04:00:00,3.9166666666666665,4.3,3.1833333333333336,11.783333333333333,9.383333333333335,6.0
2024-08-01 05:00:00,4.0,4.4333333333333345,3.3333333333333335,10.116666666666667,11.35,6.2
2024-08-01 06:00:00,4.283333333333333,4.666666666666667,3.8166666666666664,11.266666666666666,13.0,9.783333333333333
2024-08-01 07:00:00,6.550000000000001,6.083333333333333,3.516666666666666,19.0,14.333333333333334,8.133333333333335
2024-08-01 08:00:00,4.566666666666667,4.783333333333334,3.483333333333334,11.983333333333334,10.683333333333332,6.6000000000000005
2024-08-01 09:00:00,2.9166666666666665,4.05,2.6833333333333336,5.5,6.666666666666667,4.3500000000000005
2024-08-01 10:00:00,2.483333333333333,3.6333333333333333,2.6333333333333333,4.7,6.0,4.666666666666667
2024-08-01 11:00:00,2.3,3.5666666666666664,2.433333333333333,4.333333333333333,4.7,5.016666666666667
2024-08-01 12:00:00,2.316666666666667,3.533333333333333,2.0666666666666664,4.466666666666666,6.516666666666667,3.8000000000000003
2024-08-01 13:00:00,1.7833333333333332,3.25,1.9833333333333334,3.1999999999999997,5.183333333333334,4.033333333333332
2024-08-01 14:00:00,1.7500000000000002,2.866666666666667,1.7999999999999998,3.183333333333333,3.6,3.3333333333333335
2024-08-01 15:00:00,2.2666666666666666,3.316666666666667,2.0833333333333335,4.383333333333333,5.083333333333333,3.933333333333333
2024-08-01 16:00:00,2.4,3.6833333333333336,2.1666666666666665,5.716666666666666,6.016666666666667,3.733333333333333
2024-08-01 17:00:00,2.35,3.816666666666667,2.283333333333333,6.650000000000001,5.733333333333333,3.0833333333333335
2024-08-01 18:00:00,2.35,3.5833333333333335,2.2999999999999994,5.166666666666666,5.816666666666666,4.5
2024-08-01 19:00:00,2.183333333333333,3.65,2.283333333333333,3.8333333333333326,5.3,5.116666666666666
2024-08-01 20:00:00,2.5500000000000003,3.883333333333333,3.4333333333333336,5.699999999999999,6.133333333333334,6.383333333333333
2024-08-01 21:00:00,3.3000000000000003,3.6999999999999997,2.9499999999999997,7.366666666666667,6.2,4.833333333333333
2024-08-01 22:00:00,3.4333333333333336,4.083333333333333,2.85,7.05,6.05,4.55
2024-08-01 23:00:00,5.816666666666667,6.683333333333334,3.3333333333333335,12.283333333333333,15.799999999999999,6.1499999999999995
2024-08-02 00:00:00,4.883333333333333,5.45,3.283333333333333,13.266666666666666,11.816666666666668,8.483333333333333
2024-08-02 01:00:00,3.6666666666666665,4.3,3.5,11.733333333333334,11.5,6.616666666666667
2024-08-02 02:00:00,3.4,3.8166666666666664,3.4666666666666663,9.333333333333332,9.366666666666667,6.866666666666667
2024-08-02 03:00:00,3.5833333333333335,4.116666666666666,3.183333333333333,9.833333333333334,9.833333333333334,5.583333333333333
2024-08-02 04:00:00,3.983333333333334,4.316666666666666,2.5666666666666664,9.666666666666666,10.15,6.3
2024-08-02 05:00:00,3.85,4.4,2.3499999999999996,8.6,8.8,5.166666666666667
2024-08-02 06:00:00,6.216666666666668,6.149999999999999,2.6833333333333336,12.416666666666666,13.716666666666667,6.683333333333334
2024-08-02 07:00:00,9.083333333333334,8.95,2.9666666666666663,17.833333333333332,22.5,8.333333333333334
2024-08-02 08:00:00,7.0,7.199999999999999,3.1166666666666667,14.833333333333334,19.166666666666668,10.133333333333333
2024-08-02 09:00:00,4.116666666666666,4.3999999999999995,3.75,12.866666666666667,13.583333333333334,12.233333333333334
2024-08-02 10:00:00,3.3333333333333335,3.85,3.4166666666666665,9.9,13.016666666666666,10.800000000000002
2024-08-02 11:00:00,2.816666666666667,3.7999999999999994,2.6166666666666667,10.516666666666667,11.016666666666666,9.733333333333333
2024-08-02 12:00:00,3.066666666666667,3.8166666666666664,2.9499999999999997,9.433333333333334,10.616666666666667,8.566666666666666
2024-08-02 13:00:00,2.8666666666666667,4.5,3.0500000000000003,6.966666666666666,10.4,6.966666666666666
2024-08-02 14:00:00,3.1999999999999997,4.666666666666666,2.766666666666667,6.733333333333333,9.15,5.2
2024-08-02 15:00:00,2.9166666666666665,4.083333333333333,2.383333333333333,6.366666666666666,7.599999999999999,5.416666666666667
2024-08-02 16:00:00,2.75,4.2,2.766666666666667,7.25,7.833333333333333,7.633333333333333
2024-08-02 17:00:00,3.1166666666666667,4.466666666666666,2.6500000000000004,10.699999999999998,10.85,7.533333333333334
2024-08-02 18:00:00,2.933333333333333,4.016666666666667,2.533333333333333,9.633333333333335,10.316666666666666,5.949999999999999
2024-08-02 19:00:00,3.0500000000000003,4.3,2.5999999999999996,8.633333333333333,9.216666666666667,5.95
2024-08-02 20:00:00,3.066666666666667,3.6500000000000004,3.4166666666666665,11.383333333333333,7.833333333333332,7.933333333333334
2024-08-02 21:00:00,3.1666666666666665,4.966666666666666,3.0666666666666664,8.700000000000001,12.200000000000001,10.133333333333333
2024-08-02 22:00:00,2.0999999999999996,3.1833333333333336,2.9,6.933333333333334,7.416666666666667,8.816666666666665
