Time,PM2.5,PM10
2024-09-07 00:00:00,2.7777777777777772,14.777777777777777
2024-09-07 00:30:00,3.1333333333333333,14.333333333333334
2024-09-07 01:00:00,3.9000000000000004,14.344444444444443
2024-09-07 01:30:00,3.922222222222222,14.444444444444445
2024-09-07 02:00:00,3.5722222222222215,14.733333333333334
2024-09-07 02:30:00,3.6,16.333333333333332
2024-09-07 03:00:00,3.477777777777778,14.28888888888889
2024-09-07 03:30:00,3.355555555555556,18.222222222222218
2024-09-07 04:00:00,3.272222222222222,17.222222222222225
2024-09-07 04:30:00,3.277777777777778,17.11111111111111
2024-09-07 05:00:00,3.5666666666666664,14.28888888888889
2024-09-07 05:30:00,3.6444444444444444,17.666666666666668
2024-09-07 06:00:00,3.722222222222222,19.555555555555557
2024-09-07 06:30:00,3.9555555555555553,16.666666666666668
2024-09-07 07:00:00,3.788888888888889,15.444444444444443
2024-09-07 07:30:00,3.6777777777777776,16.11111111111111
2024-09-07 08:00:00,3.9222222222222225,18.833333333333332
2024-09-07 08:30:00,4.388888888888889,20.111111111111114
2024-09-07 09:00:00,4.466666666666666,20.111111111111114
2024-09-07 09:30:00,4.177777777777778,16.48888888888889
2024-09-07 10:00:00,4.1499999999999995,19.0
2024-09-07 10:30:00,4.355555555555555,18.555555555555557
2024-09-07 11:00:00,4.105555555555555,19.777777777777775
2024-09-07 11:30:00,3.633333333333333,18.655555555555555
2024-09-07 12:00:00,4.327777777777778,19.166666666666668
2024-09-07 12:30:00,3.4333333333333336,13.133333333333333
2024-09-07 13:00:00,3.466666666666667,14.333333333333334
2024-09-07 13:30:00,4.233333333333333,18.5
2024-09-07 14:00:00,3.9388888888888887,18.333333333333332
2024-09-07 14:30:00,3.8111111111111113,18.0
2024-09-07 15:00:00,4.1000000000000005,18.777777777777775
2024-09-07 15:30:00,4.333333333333333,17.555555555555557
2024-09-07 16:00:00,4.633333333333334,17.77777777777778
2024-09-07 16:30:00,4.644444444444445,16.38888888888889
2024-09-07 17:00:00,5.111111111111112,16.9
2024-09-07 17:30:00,5.48888888888889,18.54444444444444
2024-09-07 18:00:00,6.222222222222222,22.333333333333332
2024-09-07 18:30:00,5.577777777777778,19.777777777777782
2024-09-07 19:00:00,6.211111111111111,22.222222222222225
2024-09-07 19:30:00,6.433333333333334,23.666666666666668
2024-09-07 20:00:00,7.133333333333333,26.333333333333332
2024-09-07 20:30:00,7.177777777777777,24.777777777777775
2024-09-07 21:00:00,6.544444444444444,25.11111111111111
2024-09-07 21:30:00,6.666666666666667,24.888888888888886
2024-09-07 22:00:00,6.400000000000001,27.555555555555557
2024-09-07 22:30:00,5.688888888888889,26.777777777777775
2024-09-07 23:00:00,5.588888888888889,23.222222222222225
2024-09-07 23:30:00,5.3500000000000005,24.611111111111114
2024-09-08 00:00:00,5.288888888888889,24.222222222222225
2024-09-08 00:30:00,5.222222222222222,24.277777777777782
2024-09-08 01:00:00,5.1000000000000005,26.444444444444443
2024-09-08 01:30:00,5.033333333333333,22.555555555555557
2024-09-08 02:00:00,5.044444444444444,23.444444444444443
2024-09-08 02:30:00,5.111111111111112,26.333333333333332
2024-09-08 03:00:00,5.033333333333334,24.666666666666668
2024-09-08 03:30:00,5.722222222222222,24.888888888888886
2024-09-08 04:00:00,5.766666666666666,24.555555555555557
2024-09-08 04:30:00,5.8999999999999995,25.222222222222225
2024-09-08 05:00:00,5.788888888888889,24.444444444444443
2024-09-08 05:30:00,5.7,24.555555555555554
2024-09-08 06:00:00,5.833333333333333,22.555555555555557
2024-09-08 06:30:00,6.072222222222223,24.88888888888889
2024-09-08 07:00:00,5.855555555555555,24.666666666666668
2024-09-08 07:30:00,5.7444444444444445,26.444444444444443
2024-09-08 08:00:00,5.5555555555555545,24.555555555555557
2024-09-08 08:30:00,6.044444444444444,30.333333333333332
2024-09-08 09:00:00,5.922222222222222,30.777777777777782
2024-09-08 09:30:00,6.022222222222223,28.944444444444443
2024-09-08 10:00:00,6.0055555555555555,28.11111111111111
2024-09-08 10:30:00,5.7444444444444445,26.11111111111111
2024-09-08 11:00:00,5.888888888888888,32.333333333333336
2024-09-08 11:30:00,6.183333333333334,31.833333333333332
2024-09-08 12:00:00,5.433333333333334,26.777777777777782
2024-09-08 12:30:00,5.922222222222223,32.11111111111111
2024-09-08 13:00:00,6.5,34.77777777777778
2024-09-08 13:30:00,5.822222222222223,31.777777777777782
2024-09-08 14:00:00,5.811111111111111,29.777777777777782
2024-09-08 14:30:00,5.633333333333334,30.444444444444446
2024-09-08 15:00:00,5.944444444444444,28.0
2024-09-08 15:30:00,6.027777777777778,30.722222222222225
2024-09-08 16:00:00,6.211111111111111,32.55555555555556
2024-09-08 16:30:00,6.166666666666667,33.333333333333336
2024-09-08 17:00:00,5.888888888888889,31.444444444444443
2024-09-08 17:30:00,5.922222222222222,30.88888888888889
2024-09-08 18:00:00,6.188888888888889,33.55555555555555
2024-09-08 18:30:00,5.538888888888889,32.0
2024-09-08 19:00:00,5.488888888888888,32.55555555555555
2024-09-08 19:30:00,5.988888888888888,28.0
2024-09-08 20:00:00,6.211111111111111,30.111111111111114
2024-09-08 20:30:00,6.111111111111111,32.0
2024-09-08 21:00:00,5.6000000000000005,28.222222222222225
2024-09-08 21:30:00,4.177777777777778,22.222222222222225
2024-09-08 22:00:00,3.422222222222222,21.333333333333332
2024-09-08 22:30:00,1.9833333333333334,10.311111111111112
2024-09-08 23:00:00,2.283333333333333,13.116666666666667
2024-09-08 23:30:00,2.4777777777777774,12.0
