"Time","Sensor1","Sensor2","Sensor3"
2024-08-01 22:40:00,12,6.8,5.2
2024-08-01 22:50:00,9.2,9.2,4.5
2024-08-01 23:00:00,5.8,9.8,4.1
2024-08-01 23:10:00,11,10,3.5
2024-08-01 23:20:00,15,11,4.3
2024-08-01 23:30:00,21,34,6
2024-08-01 23:40:00,12,13,10
2024-08-01 23:50:00,8.9,17,9
2024-08-02 00:00:00,9,13,10
2024-08-02 00:10:00,13,10,9.1
2024-08-02 00:20:00,7.6,9.4,10
2024-08-02 00:30:00,15,9.5,7.3
2024-08-02 00:40:00,21,18,8.6
2024-08-02 00:50:00,14,11,5.9
2024-08-02 01:00:00,13,12,4
2024-08-02 01:10:00,12,9.2,7
2024-08-02 01:20:00,13,9.8,6.6
2024-08-02 01:30:00,11,11,6
2024-08-02 01:40:00,12,14,7.8
2024-08-02 01:50:00,9.4,13,8.3
2024-08-02 02:00:00,15,11,10
2024-08-02 02:10:00,7.4,7.1,7.1
2024-08-02 02:20:00,12,12,5.3
2024-08-02 02:30:00,6.8,8.6,4.3
2024-08-02 02:40:00,5.9,8.5,8.6
2024-08-02 02:50:00,8.9,9,5.9
2024-08-02 03:00:00,12,9.4,6.4
2024-08-02 03:10:00,8,11,5.4
2024-08-02 03:20:00,9.7,4.6,4.5
2024-08-02 03:30:00,9.7,12,5.2
2024-08-02 03:40:00,12,10,4.3
2024-08-02 03:50:00,7.6,12,7.7
2024-08-02 04:00:00,7.6,11,5.1
2024-08-02 04:10:00,8.9,10,8
2024-08-02 04:20:00,9.1,11,5.2
2024-08-02 04:30:00,16,9.3,
2024-08-02 04:40:00,4.4,11,6.5
2024-08-02 04:50:00,12,8.6,7.8
2024-08-02 05:00:00,6.1,6.4,5.2
2024-08-02 05:10:00,9.2,7.4,4.1
2024-08-02 05:20:00,8.6,6.4,5.2
2024-08-02 05:30:00,7.2,8.5,2.9
2024-08-02 05:40:00,9.5,16,3.6
2024-08-02 05:50:00,11,8.1,10
2024-08-02 06:00:00,6.8,11,6.3
2024-08-02 06:10:00,10,8.3,5.7
2024-08-02 06:20:00,9.7,12,9.7
2024-08-02 06:30:00,20,19,6.6
2024-08-02 06:40:00,17,18,5.2
2024-08-02 06:50:00,11,14,6.6
2024-08-02 07:00:00,15,18,6.4
2024-08-02 07:10:00,18,26,4.8
2024-08-02 07:20:00,21,17,
2024-08-02 07:30:00,17,23,8
2024-08-02 07:40:00,18,17,14
2024-08-02 07:50:00,,34,12
2024-08-02 08:00:00,19,33,12
2024-08-02 08:10:00,15,20,11
2024-08-02 08:20:00,15,16,10
2024-08-02 08:30:00,15,17,11
2024-08-02 08:40:00,14,16,8.9
2024-08-02 08:50:00,11,13,7.9
2024-08-02 09:00:00,21,11,11
2024-08-02 09:10:00,18,17,9.3
2024-08-02 09:20:00,9.7,9.5,17
2024-08-02 09:30:00,10,12,6.1
2024-08-02 09:40:00,12,20,17
2024-08-02 09:50:00,6.5,12,13
2024-08-02 10:00:00,,19,11
2024-08-02 10:10:00,17,12,13
2024-08-02 10:20:00,10,9.1,12
2024-08-02 10:30:00,7.7,12,9.7
2024-08-02 10:40:00,9.6,15,8.1
2024-08-02 10:50:00,8.6,11,11
2024-08-02 11:00:00,8.3,12,9.4
2024-08-02 11:10:00,8.8,6.9,7.3
2024-08-02 11:20:00,12,14,9.9
2024-08-02 11:30:00,14,8.2,7.8
2024-08-02 11:40:00,10,9,12
2024-08-02 11:50:00,10,16,12
2024-08-02 12:00:00,12,16,12
2024-08-02 12:10:00,5.9,6.2,9.6
2024-08-02 12:20:00,7.8,10,7.3
2024-08-02 12:30:00,8.9,11,8.1
2024-08-02 12:40:00,10,8.5,
2024-08-02 12:50:00,12,12,6.3
2024-08-02 13:00:00,15,15,8.6
2024-08-02 13:10:00,5.5,12,6.2
2024-08-02 13:20:00,6,13,7.5
2024-08-02 13:30:00,5.8,8.7,4.6
2024-08-02 13:40:00,5.5,8.2,6.9
2024-08-02 13:50:00,4,5.5,8
2024-08-02 14:00:00,12,7.6,5.4
2024-08-02 14:10:00,7.9,7.3,5.6
2024-08-02 14:20:00,7,10,7.7
2024-08-02 14:30:00,3.7,10,3.3
2024-08-02 14:40:00,,10,5.4
2024-08-02 14:50:00,6.1,10,3.8
2024-08-02 15:00:00,5.3,10,5.6
2024-08-02 15:10:00,7,10,4
2024-08-02 15:20:00,3.9,7.3,7.1
2024-08-02 15:30:00,11,5.5,6.7
2024-08-02 15:40:00,4.1,4.8,3.5
2024-08-02 15:50:00,6.9,8,5.6
2024-08-02 16:00:00,9,9.7,11
2024-08-02 16:10:00,6.9,7.6,7.6
2024-08-02 16:20:00,7,7.5,7.7
2024-08-02 16:30:00,7.2,7.8,4
2024-08-02 16:40:00,6.9,9.2,5.5
2024-08-02 16:50:00,6.5,5.2,10
2024-08-02 17:00:00,11,8.1,6.4
2024-08-02 17:10:00,20,12,8
2024-08-02 17:20:00,6.3,11,5.1
2024-08-02 17:30:00,7.9,13,10
2024-08-02 17:40:00,7,10,8.6
2024-08-02 17:50:00,12,11,7.1
2024-08-02 18:00:00,7.2,16,3.8
2024-08-02 18:10:00,16,7.4,7.7
2024-08-02 18:20:00,12,11,4.6
2024-08-02 18:30:00,8.3,9.4,9.9
2024-08-02 18:40:00,6.2,10,3.4
2024-08-02 18:50:00,8.1,8.1,6.3
2024-08-02 19:00:00,6.1,8.5,4.4
2024-08-02 19:10:00,7.4,8.6,4.2
2024-08-02 19:20:00,14,7.2,6.5
2024-08-02 19:30:00,9.5,5.4,7.1
2024-08-02 19:40:00,4.9,8.6,7.8
2024-08-02 19:50:00,9.9,17,5.7
2024-08-02 20:00:00,11,9.4,7.3
2024-08-02 20:10:00,9.3,7.9,7.9
2024-08-02 20:20:00,12,6,6.6
2024-08-02 20:30:00,10,11,9.6
2024-08-02 20:40:00,11,6.4,9.1
2024-08-02 20:50:00,15,6.3,7.1
2024-08-02 21:00:00,12,9.8,11
2024-08-02 21:10:00,8,13,7.5
2024-08-02 21:20:00,7.5,9.6,6.8
2024-08-02 21:30:00,11,19,9.5
2024-08-02 21:40:00,8.1,12,15
2024-08-02 21:50:00,5.6,9.8,11
2024-08-02 22:00:00,10,7.7,8.5
2024-08-02 22:10:00,10,4.7,8.5
2024-08-02 22:20:00,5.5,6,11
2024-08-02 22:30:00,3,12,6.8
2024-08-02 22:40:00,5.9,6.2,8.4
2024-08-02 22:50:00,7.2,7.9,9.7
2024-08-02 23:00:00,8.8,12,9.9
2024-08-02 23:10:00,12,15,11
2024-08-02 23:20:00,12,9.4,14
2024-08-02 23:30:00,13,5.9,7.4
2024-08-02 23:40:00,14,6.7,9.2
2024-08-02 23:50:00,9.2,8.7,11
2024-08-03 00:00:00,13,9.1,7.7
2024-08-03 00:10:00,11,7.1,7.5
2024-08-03 00:20:00,10,7.2,8.6
2024-08-03 00:30:00,12,15,11
2024-08-03 00:40:00,15,13,14
2024-08-03 00:50:00,7.3,8.4,8.8
2024-08-03 01:00:00,7.4,8.4,11
2024-08-03 01:10:00,22,6.8,8.3
2024-08-03 01:20:00,6,8.4,12
2024-08-03 01:30:00,13,9.9,7.7
2024-08-03 01:40:00,13,8.7,4.4
2024-08-03 01:50:00,6.8,7.5,7.1
2024-08-03 02:00:00,6.7,9,5
2024-08-03 02:10:00,9,7.8,7.1
2024-08-03 02:20:00,3.9,5.1,4.4
2024-08-03 02:30:00,4.7,7.1,6.4
2024-08-03 02:40:00,6.9,11,6.4
2024-08-03 02:50:00,6.5,6.1,7.5
2024-08-03 03:00:00,5.1,13,6.4
2024-08-03 03:10:00,11,9.3,9.1
2024-08-03 03:20:00,7.2,15,15
2024-08-03 03:30:00,6.2,10,8.8
2024-08-03 03:40:00,12,9.5,11
2024-08-03 03:50:00,8.9,8.1,7
2024-08-03 04:00:00,13,7.8,7.7
2024-08-03 04:10:00,9.2,11,8.2
2024-08-03 04:20:00,11,8.5,6.3
2024-08-03 04:30:00,8.8,8.5,7.7
2024-08-03 04:40:00,6.9,6.8,7.3
2024-08-03 04:50:00,4.5,9.5,5.3
2024-08-03 05:00:00,8.4,7.6,6.9
2024-08-03 05:10:00,17,9.6,10
2024-08-03 05:20:00,8.1,12,6.2
2024-08-03 05:30:00,8.2,9.1,14
2024-08-03 05:40:00,15,7.2,10
2024-08-03 05:50:00,5.8,14,4.9
2024-08-03 06:00:00,8.7,8.6,8.9
2024-08-03 06:10:00,7.6,10,5.3
2024-08-03 06:20:00,11,14,5.3
2024-08-03 06:30:00,12,12,11
2024-08-03 06:40:00,7.8,13,11
2024-08-03 06:50:00,15,13,14
2024-08-03 07:00:00,5.6,14,13
2024-08-03 07:10:00,15,16,10
2024-08-03 07:20:00,12,15,9.1
2024-08-03 07:30:00,14,17,17
2024-08-03 07:40:00,27,31,22
2024-08-03 07:50:00,21,17,14
2024-08-03 08:00:00,15,15,11
2024-08-03 08:10:00,20,10,12
2024-08-03 08:20:00,13,14,11
2024-08-03 08:30:00,11,11,14
2024-08-03 08:40:00,15,10,17
2024-08-03 08:50:00,12,13,11
2024-08-03 09:00:00,16,10,10
2024-08-03 09:10:00,9.5,16,10
2024-08-03 09:20:00,18,17,16
2024-08-03 09:30:00,17,16,7.6
2024-08-03 09:40:00,13,12,13
2024-08-03 09:50:00,16,20,12
2024-08-03 10:00:00,15,16,15
2024-08-03 10:10:00,17,14,10
2024-08-03 10:20:00,12,15,11
2024-08-03 10:30:00,15,10,15
2024-08-03 10:40:00,15,16,15
2024-08-03 10:50:00,15,15,13
2024-08-03 11:00:00,14,18,8.2
2024-08-03 11:10:00,13,17,9.9
2024-08-03 11:20:00,12,15,12
2024-08-03 11:30:00,12,13,11
2024-08-03 11:40:00,11,18,7.1
2024-08-03 11:50:00,8.4,14,7.3
2024-08-03 12:00:00,12,14,11
2024-08-03 12:10:00,6.5,11,14
2024-08-03 12:20:00,8.5,23,8.9
2024-08-03 12:30:00,8.3,14,8.5
2024-08-03 12:40:00,11,14,10
2024-08-03 12:50:00,12,11,9
2024-08-03 13:00:00,16,15,10
2024-08-03 13:10:00,12,13,13
2024-08-03 13:20:00,11,10,7.4
2024-08-03 13:30:00,11,8.8,12
2024-08-03 13:40:00,9.7,10,12
2024-08-03 13:50:00,4.9,10,8.5
2024-08-03 14:00:00,11,13,12
2024-08-03 14:10:00,8,18,12
2024-08-03 14:20:00,15,11,15
2024-08-03 14:30:00,8.6,7.5,9.4
2024-08-03 14:40:00,9,8.1,6.4
2024-08-03 14:50:00,11,13,8.8
2024-08-03 15:00:00,10,12,10
2024-08-03 15:10:00,7.2,7.6,9.6
2024-08-03 15:20:00,13,8.8,8.1
2024-08-03 15:30:00,11,11,13
2024-08-03 15:40:00,13,11,13
2024-08-03 15:50:00,12,11,8.1
2024-08-03 16:00:00,12,11,8
2024-08-03 16:10:00,16,11,13
2024-08-03 16:20:00,8,11,10
2024-08-03 16:30:00,6.6,11,4.7
2024-08-03 16:40:00,8.3,11,6.1
2024-08-03 16:50:00,11,11,8.8
2024-08-03 17:00:00,5.9,11,8.4
2024-08-03 17:10:00,17,11,9.3
2024-08-03 17:20:00,8.9,11,
2024-08-03 17:30:00,8.4,11,11
2024-08-03 17:40:00,10,11,9.2
2024-08-03 17:50:00,9.1,11,5.2
2024-08-03 18:00:00,8.2,11,8.7
2024-08-03 18:10:00,12,11,8.7
2024-08-03 18:20:00,9.4,11,7.7
2024-08-03 18:30:00,7.6,11,12
2024-08-03 18:40:00,13,11,10
2024-08-03 18:50:00,16,11,
2024-08-03 19:00:00,16,11,9.1
2024-08-03 19:10:00,14,11,11
2024-08-03 19:20:00,14,11,18
2024-08-03 19:30:00,14,11,
2024-08-03 19:40:00,17,11,
2024-08-03 19:50:00,,11,15
2024-08-03 20:00:00,13,11,11
2024-08-03 20:10:00,19,11,12
2024-08-03 20:20:00,13,11,9.7
