row,col,lon,lat,CH4,CO,HCHO,NO2,O3,SO2,entry_date
21.0,9.0,9.144962309,39.293023489,1915.3016228926808,0.0325685963034629,0.0001776623539626,1.186302961286856e-05,0.1359978467226028,0.0007769964868202,2024-09-07T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1915.3016228926808,0.031113164499402,9.237809717888013e-05,3.807676694123074e-05,0.1333983093500137,0.0003070709935855,2024-09-08T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1915.3016228926808,0.0308917090296745,0.0001900802744785,3.807676694123074e-05,0.1262518316507339,5.806243279948831e-05,2024-09-09T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.0348593406379222,0.0001725606707623,1.7801123249228112e-05,0.1392863988876342,-0.0003387943143025,2024-09-10T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.0345351919531822,8.241176692536101e-05,7.395674856525147e-06,0.1417057067155838,0.0008706849184818,2024-09-11T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.0329619608819484,-1.893140688480344e-05,2.0443223547772504e-05,0.1441632360219955,-0.0001681634166743,2024-09-12T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.0286971870809793,-1.893140688480344e-05,2.0443223547772504e-05,0.1433818787336349,-0.0001681634166743,2024-09-13T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.0331595428287982,-6.216569090611301e-06,1.3548227798310108e-05,0.1373205482959747,2.382467209827155e-05,2024-09-14T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.0300289113074541,6.7914865212515e-05,1.779108788468875e-05,0.1433122307062149,0.0006328543531708,2024-09-15T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.0300565566867589,7.42185794196728e-05,2.4039921488016763e-05,0.1382736717500994,0.0002450491193830483,2024-09-16T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1915.3016228926808,0.03127599531604392,3.741525506484322e-05,2.180153751396574e-05,0.1509636640548706,0.0008359919302165,2024-09-16T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1915.3016228926808,0.03127599531604392,3.741525506484322e-05,2.180153751396574e-05,0.1435841768980026,0.0008359919302165,2024-09-17T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.0300565566867589,7.42185794196728e-05,2.4039921488016763e-05,0.1382736717500994,0.0002450491193830483,2024-09-17T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.0300565566867589,7.42185794196728e-05,2.4039921488016763e-05,0.1382736717500994,0.0002450491193830483,2024-09-18T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1915.3016228926808,0.03127599531604392,3.583719808375463e-05,2.180153751396574e-05,0.1459898352622985,0.0009280392550863,2024-09-18T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1915.3016228926808,0.03127599531604392,3.583719808375463e-05,2.180153751396574e-05,0.1462424993515014,0.0009280392550863,2024-09-19T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.0300565566867589,7.42185794196728e-05,2.4039921488016763e-05,0.1382736717500994,0.0002450491193830483,2024-09-19T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.03127599531604392,7.42185794196728e-05,2.4039921488016763e-05,0.1382736717500994,0.0002450491193830483,2024-09-20T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1915.3016228926808,0.0360424928367137,3.583719808375463e-05,2.180153751396574e-05,0.1431276798248291,0.0009280392550863,2024-09-20T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1901.944091796875,0.03127599531604392,7.42185794196728e-05,2.4039921488016763e-05,0.1382736717500994,0.0002450491193830483,2024-09-21T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1915.3016228926808,0.0360424928367137,7.42185794196728e-05,2.4039921488016763e-05,0.1416120380163192,0.0002450491193830483,2024-09-21T00:00:00+00:00
21.0,9.0,9.144962309,39.293023489,1915.3016228926808,0.0360424928367137,7.42185794196728e-05,2.4039921488016763e-05,0.1416120380163192,0.0002450491193830483,2024-09-22T00:00:00+00:00
